,year,cluster_reviewed,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,reviewer,notes
30,2021,RK063_3,,,,,,,,,,,,,SL,
30,2022,RK063_3,,,,,,,,,,,,,SL,
30,2023,RK063_3,,,,,,,,,,,,,SL,
30,2024,RK063_3,1,1,,,1,,,,,,,,SL,
31,2021,RK065_0,,,,,,,,,,,,,SL,
31,2022,RK065_0,1,1,,,,1,1,1,,,1,1,SL,
31,2023,RK065_0,1,1,1,,,1,1,1,,,,,SL,
31,2024,RK065_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
32,2021,RK065_1,0,1,1,1,1,1,,,,1,,1,SL,
32,2022,RK065_1,,,,,,,,,,,,,SL,
32,2023,RK065_1,,,,,,,,,,,,,SL,
32,2024,RK065_1,,,,,,,,,,,,,SL,
33,2021,RK065_2,1,1,,1,,,1,1,1,1,1,1,SL,
33,2022,RK065_2,1,1,,,1,1,1,1,1,1,1,1,SL,
33,2023,RK065_2,1,1,1,,1,1,1,1,,1,1,1,SL,
33,2024,RK065_2,1,1,1,1,1,1,1,1,,1,1,,SL,
34,2021,RK065_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
34,2022,RK065_3,1,1,,1,,1,1,1,1,1,1,1,SL,
34,2023,RK065_3,,,1,,,,,,,,,,SL,
34,2024,RK065_3,,,,,,,,,,,,,SL,
35,2021,RK065_4,1,1,1,1,1,1,,,,,,,SL,
35,2022,RK065_4,1,1,1,1,1,1,1,1,1,1,1,1,SL,
35,2023,RK065_4,1,1,1,1,1,1,,1,,1,1,1,SL,
35,2024,RK065_4,,,1,1,,,1,,,,1,,SL,
36,2021,RK1003_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
36,2022,RK1003_0,,,,,,,,,,,,,SL,
36,2023,RK1003_0,,,,,,,,,,,,,SL,
36,2024,RK1003_0,,,,,,,,,,,,,SL,
37,2021,RK1003_1,,,,,,,,,,,,,SL,
37,2022,RK1003_1,,,,1,1,,,1,,1,1,1,SL,
37,2023,RK1003_1,,1,,,,1,,1,,,,,SL,
37,2024,RK1003_1,,,,,,,,,,,,,SL,
38,2021,RK1003_3,,,,,,,,,,,,,SL,
38,2022,RK1003_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
