n_points,n_clusters,clustered_fraction,allow_single,per_point_clusters,purity
4,8,0.92125,False,14,0.9782903663500678
4,7,0.9125,False,13,0.963013698630137
8,14,0.81875,False,35,0.9274809160305344
8,12,0.900625,False,26,0.9611380985426787
8,20,0.873125,False,31,0.9627773801002147
8,14,0.90875,False,34,0.9669876203576341
8,11,0.948125,False,30,0.9103493737640079
8,17,0.86875,False,34,0.9805755395683453
8,13,0.825,False,33,0.9916666666666667
8,13,0.845,False,40,0.9541420118343196
8,10,0.894375,False,21,0.9692522711390635
8,10,0.800625,False,54,0.750975800156128
8,13,0.879375,False,38,0.9466950959488273
8,16,0.83625,False,49,0.9626307922272048
8,14,0.88,False,42,0.9389204545454546
8,15,0.781875,False,48,0.9888089528377298
8,15,0.85625,False,31,0.9583941605839416
8,13,0.89375,False,36,0.990909090909091
8,12,0.86125,False,41,0.9477503628447025
8,13,0.883125,False,22,0.9766454352441614
8,16,0.805625,False,47,0.9534522885958107
8,11,0.93875,False,31,0.9194407456724367
16,24,0.9028125,False,56,0.9837313949463482
16,30,0.8746875,False,63,0.9710610932475884
16,33,0.8240625,False,76,0.9761092150170648
16,32,0.853125,False,71,0.9644688644688645
16,27,0.81625,False,68,0.9827718223583461
16,23,0.8875,False,51,0.976056338028169
16,33,0.80125,False,71,0.9555382215288611
16,33,0.8240625,False,69,0.9480470231323473
16,31,0.884375,False,72,0.9759717314487633
16,30,0.810625,False,80,0.9737856592135697
16,31,0.75875,False,87,0.9485172981878089
16,31,0.750625,False,77,0.9704412989175687
16,27,0.8715625,False,61,0.9383291502330584
16,36,0.7959375,False,84,0.972516686297605
16,34,0.8159375,False,88,0.948295672156262
16,31,0.865,False,60,0.9577312138728323
16,34,0.87,False,79,0.9378591954022989
16,30,0.8234375,False,67,0.9730550284629981
16,29,0.8578125,False,65,0.9275045537340619
16,32,0.784375,False,75,0.950199203187251
32,64,0.8365625,False,135,0.9643257377661562
32,63,0.76078125,False,156,0.9710412815773259
32,59,0.79515625,False,157,0.9675771271369621
32,60,0.82703125,False,136,0.9637256754203665
32,64,0.74234375,False,156,0.9720058934961061
32,59,0.78359375,False,159,0.9597208374875373
32,63,0.78734375,False,146,0.9736058741813852
32,61,0.8075,False,130,0.9727167182662538
32,67,0.77796875,False,159,0.9785097409118297
32,57,0.82796875,False,117,0.966786186072844
32,60,0.82140625,False,132,0.964999048887198
32,64,0.756875,False,152,0.981626754748142
32,67,0.8078125,False,141,0.9700193423597679
32,62,0.7940625,False,156,0.9722550177095631
32,61,0.75078125,False,163,0.959417273673257
32,60,0.816875,False,151,0.9734123947972456
32,59,0.7428125,False,143,0.9461506100126209
32,65,0.7978125,False,129,0.9782608695652174
32,62,0.78171875,False,148,0.9634219468319009
32,68,0.81203125,False,153,0.9774870117375409
64,120,0.761015625,False,314,0.9530848988810183
64,126,0.77171875,False,296,0.9641627859890666
64,122,0.7890625,False,292,0.9739603960396039
64,125,0.7790625,False,297,0.9634977938227036
64,124,0.7784375,False,303,0.973404255319149
64,122,0.777578125,False,286,0.955490806791922
64,132,0.77,False,296,0.9716923701298701
64,123,0.796796875,False,293,0.9627414452397294
64,137,0.75984375,False,313,0.974090067859346
64,133,0.755390625,False,310,0.9673182335298376
64,117,0.756953125,False,297,0.9571679223862112
64,132,0.78453125,False,292,0.9742083250348537
64,124,0.76296875,False,296,0.9750153594101987
64,127,0.777578125,False,278,0.9676479453431126
64,118,0.77421875,False,270,0.9656912209889001
64,130,0.78734375,False,285,0.9782694979162532
64,129,0.762734375,False,308,0.9636382259551367
64,135,0.7671875,False,298,0.9670061099796334
64,132,0.768359375,False,302,0.9632943568886629
64,135,0.779921875,False,304,0.9638385254933387
119,250,0.7581932773109243,False,541,0.9616514269880854
119,234,0.7573949579831932,False,538,0.9617774325973594
119,235,0.7677731092436975,False,535,0.9592294642368522
119,233,0.7710084033613446,False,543,0.9567847411444141
119,227,0.7604621848739496,False,538,0.9512127741864191
119,240,0.7630252100840336,False,541,0.9589207048458149
119,244,0.7523529411764706,False,544,0.9666033731710041
119,232,0.7690756302521008,False,538,0.9526879370629371
119,237,0.7606302521008403,False,544,0.9568579793404408
119,228,0.777016806722689,False,538,0.9460877088628129
119,230,0.7726470588235295,False,536,0.9573658165207461
119,237,0.7748739495798319,False,531,0.9536926580631168
119,232,0.7709663865546218,False,537,0.9616872854106491
119,235,0.7744957983193277,False,539,0.9542125535723973
119,245,0.7610924369747899,False,540,0.9606933863310146
119,242,0.7471008403361344,False,536,0.9604071761993139
119,237,0.7713025210084034,False,534,0.9544043144304625
119,234,0.7707983193277311,False,539,0.9553011719814664
