Name,ari (Max),accuracy,State,Notes,User,Tags,Created,Runtime,Sweep,clustering.min_cluster_size,clustering.reduced_n_dimensions,clustering.reduction_algorithm,data.max_points,data.n_train_samples,name,paths.background_clips_path,paths.labeled_clips_path,paths.save_dir,paths.train_clips_path,preprocessing.clip_duration,preprocessing.high_contrast,preprocessing.overlay,preprocessing.reduce_noise,preprocessing.use_overlay,repeats,results.best_epoch,results.metrics.accuracy,results.metrics.ari,results.metrics.completeness,results.metrics.fmi,results.metrics.homogeneity,results.metrics.nmi,results.metrics.purity,results.metrics.train_loss,results.metrics.v_measure,results.train_time_hrs,strategy,training.arcface_loss_subcenters,training.backbone,training.batch_size,training.clustering_interval_epochs,training.device,training.loss_fn,training.n_clip_replicates,training.n_points_per_batch,training.num_epochs,training.num_workers,save_checkpoints,training.contrastive_loss.different_location_weight,training.contrastive_loss.pseudo_label_weight,training.contrastive_loss.same_clip_weight,training.contrastive_loss.same_location_weight,completeness,fmi,homogeneity,nmi,purity,train_loss,v_measure
Training Experiment,0.9230557749506976,0.8762322015334063,finished,-,,,2025-04-07T15:53:51.000Z,281,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.8879,0.9302,0.9173,0.9346,0.9721,0.9439,0.9817,0.0066,0.9439,0.1647865926557117,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.920233514,0.9268248029510392,0.9503854544008422,0.935066479,0.9485213581599125,0.009665312,0.935066479
Training Experiment,0.9442808124994504,0.8616283315078496,finished,-,,,2025-04-07T15:55:34.000Z,280,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.9116,0.9449,0.9271,0.9481,0.9682,0.9472,0.9763,0.0108,0.9472,0.235586439,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9084308705424974,0.9238594848349276,0.9549219758201196,0.9310964410071986,0.9532676159182184,0.00980195,0.9310964410071983
Training Experiment,0.9108232227546776,0.8484848484848485,finished,-,,,2025-04-07T15:56:17.000Z,291,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.910146696,0.9127712416535348,0.9562009085943516,0.932605583,0.945965681,0.006953858,0.9326055828986932
Training Experiment,0.9335927465860356,0.8696604600219058,finished,-,,,2025-04-07T15:57:10.000Z,283,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.8989,0.9384,0.9244,0.942,0.9718,0.9475,0.9825,0.0039,0.9475,0.16394914633697935,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.908296786,0.9253985721026288,0.9591641664814592,0.9330376931865212,0.9693318729463308,0.012851131,0.9330376931865212
Training Experiment,0.9328932353772608,0.8703906535231837,finished,-,,,2025-04-07T15:58:32.000Z,285,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.8708,0.9231,0.9152,0.9275,0.9529,0.9337,0.9485,0.0069,0.9337,0.24296041521761153,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.8986339529649188,0.9151053937012412,0.9612009780216108,0.9288650514969408,0.9671412924424972,0.005684351,0.9288650514969408
Training Experiment,0.9467317602862328,0.9266155531215772,finished,-,,,2025-04-07T16:00:14.000Z,281,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,6,0.8912,0.9443,0.9275,0.9477,0.974,0.9502,0.9803,0.0074,0.9502,0.3133781890074412,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9443728735721572,0.9497874068637392,0.9696805185802352,0.9568593870297294,0.977364001,0.010708684101700785,0.9568593870297296
Training Experiment,0.936812053,0.9167579408543264,finished,-,,,2025-04-07T16:01:08.000Z,271,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.8682,0.9108,0.9184,0.9162,0.9592,0.9384,0.9496,0.0116,0.9384,0.081073812,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9624176713695384,0.9406965369450586,0.9529716862301084,0.9576713867639508,0.9441401971522454,0.006154663,0.9576713867639508
Training Experiment,0.9317689657645952,0.8970427163198248,finished,-,,,2025-04-07T16:01:54.000Z,280,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.904,0.9336,0.9386,0.9373,0.9597,0.949,0.9598,0.0094,0.949,0.242608442,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9362837233485748,0.9342592844015992,0.955601146,0.9458438127928672,0.9572836801752465,0.010308587923645971,0.9458438127928672
Training Experiment,0.9423006323439188,0.91347207,finished,-,,,2025-04-07T16:03:19.000Z,286,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.8824,0.9329,0.9199,0.9369,0.9651,0.942,0.9595,0.0074,0.942,0.3221091679069731,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9401020158101108,0.9455913046592642,0.964375574,0.9520841054759548,0.9707922599488864,0.006733159,0.9520841054759548
Training Experiment,0.9393322966921572,0.9039795545819642,finished,-,,,2025-04-07T16:05:39.000Z,268,,7,3,tsne,,10000,Training Experiment,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,9,0.9168,0.9368,0.9624,0.9407,0.953,0.9577,0.9441,0.0062,0.9577,0.1561973037984636,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9356095837540616,0.938584732,0.960003894,0.9476497760212574,0.9569185834246076,0.007383523,0.9476497760212574
