file,datetime,date,time,point_code,start_time,dataset,year,full_file,full_file_offset,annotation,hawkears_OVEN_score
random_43261_RK1022_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK1022,0,appl2021e,2021,random_43261_RK1022_2021.mp3,4759.941084564284,no,-6.582147
random_11950_RK616_2021.mp3,2021-05-17 10:00:00+00:00,2021-05-17,10:00:00,RK616,0,appl2021e,2021,random_11950_RK616_2021.mp3,320.3739488080868,no,-6.6972933
random_17322_RK611_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK611,0,appl2021e,2021,random_17322_RK611_2021.mp3,2753.594488526393,no,-7.0779634
random_9449_RK010_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK010,0,appl2021e,2021,random_9449_RK010_2021.mp3,5103.770926138995,no,-6.767465
random_10739_RK888_2021.mp3,2021-05-15 10:00:00+00:00,2021-05-15,10:00:00,RK888,0,appl2021e,2021,random_10739_RK888_2021.mp3,628.1307209930164,no,-7.003998
random_2650_RK696_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK696,0,appl2021e,2021,random_2650_RK696_2021.mp3,1642.0072268179204,no,-7.4161706
random_2947_RK1054_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK1054,0,appl2021e,2021,random_2947_RK1054_2021.mp3,1361.167689672966,no,-8.462244
random_8341_RK1040_2021.mp3,2021-05-16 10:00:00+00:00,2021-05-16,10:00:00,RK1040,0,appl2021e,2021,random_8341_RK1040_2021.mp3,4571.742155014771,no,-7.485995
random_32854_RK007_2021.mp3,2021-05-15 10:00:00+00:00,2021-05-15,10:00:00,RK007,0,appl2021e,2021,random_32854_RK007_2021.mp3,2050.887117319377,no,-7.054561
random_12216_RK895_2021.mp3,2021-05-24 10:00:00+00:00,2021-05-24,10:00:00,RK895,0,appl2021e,2021,random_12216_RK895_2021.mp3,180.727254852795,no,-7.589386
random_26690_RK614_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK614,0,appl2021e,2021,random_26690_RK614_2021.mp3,846.6320377992018,yes,2.216622
random_2482_RK934_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK934,0,appl2021e,2021,random_2482_RK934_2021.mp3,2946.4669612748767,no,-7.0505753
random_24405_RK958_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK958,0,appl2021e,2021,random_24405_RK958_2021.mp3,1593.9783991616025,no,-7.615515
random_15696_RK683_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK683,0,appl2021e,2021,random_15696_RK683_2021.mp3,4645.686357055598,no,-6.917825
random_6538_RK920_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK920,0,appl2021e,2021,random_6538_RK920_2021.mp3,5062.226396842635,no,-8.032046
random_45750_RK921_2021.mp3,2021-05-18 10:00:00+00:00,2021-05-18,10:00:00,RK921,0,appl2021e,2021,random_45750_RK921_2021.mp3,3267.5308890153237,no,-6.9679484
random_45064_RK969_2021.mp3,2021-05-24 10:00:00+00:00,2021-05-24,10:00:00,RK969,0,appl2021e,2021,random_45064_RK969_2021.mp3,3289.925550544303,no,-7.471391
random_43731_RK602_2021.mp3,2021-05-24 10:00:00+00:00,2021-05-24,10:00:00,RK602,0,appl2021e,2021,random_43731_RK602_2021.mp3,582.4533805491872,no,-6.422867
random_4784_RK693_2021.mp3,2021-05-16 10:00:00+00:00,2021-05-16,10:00:00,RK693,0,appl2021e,2021,random_4784_RK693_2021.mp3,3375.615522580954,no,-7.051175
random_39889_RK741_2021.mp3,2021-05-18 10:00:00+00:00,2021-05-18,10:00:00,RK741,0,appl2021e,2021,random_39889_RK741_2021.mp3,4763.77914828067,yes,1.8460894
random_0634_RK1018_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK1018,0,appl2021e,2021,random_0634_RK1018_2021.mp3,443.7246331161709,yes,-0.08265698
random_11532_RK747_2021.mp3,2021-05-18 10:00:00+00:00,2021-05-18,10:00:00,RK747,0,appl2021e,2021,random_11532_RK747_2021.mp3,3485.288131270814,no,-7.7066917
random_0119_RK1026_2021.mp3,2021-05-15 10:00:00+00:00,2021-05-15,10:00:00,RK1026,0,appl2021e,2021,random_0119_RK1026_2021.mp3,3095.500367165288,no,-7.0118914
random_41842_RK974_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK974,0,appl2021e,2021,random_41842_RK974_2021.mp3,1647.4229093277097,yes,1.028666
random_47022_RK905_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK905,0,appl2021e,2021,random_47022_RK905_2021.mp3,3521.43423941676,no,-7.6169596
random_45014_RK1013_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK1013,0,appl2021e,2021,random_45014_RK1013_2021.mp3,1181.0782069830514,no,-7.6403146
random_4188_RK603_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK603,0,appl2021e,2021,random_4188_RK603_2021.mp3,1145.0204987523064,no,-7.1617737
random_30997_RK917_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK917,0,appl2021e,2021,random_30997_RK917_2021.mp3,4047.401096886303,no,-7.9135447
random_0865_RK954_2021.mp3,2021-05-24 10:00:00+00:00,2021-05-24,10:00:00,RK954,0,appl2021e,2021,random_0865_RK954_2021.mp3,5226.344711201242,no,-6.9916544
random_5618_RK986_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK986,0,appl2021e,2021,random_5618_RK986_2021.mp3,1814.97274264516,yes,1.7475489
random_7607_RK001_2021.mp3,2021-05-24 10:00:00+00:00,2021-05-24,10:00:00,RK001,0,appl2021e,2021,random_7607_RK001_2021.mp3,3500.8217179050994,yes,1.2810131
random_28351_RK004_2021.mp3,2021-05-18 10:00:00+00:00,2021-05-18,10:00:00,RK004,0,appl2021e,2021,random_28351_RK004_2021.mp3,3008.22602102906,no,-6.9353113
random_6475_RK920_2021.mp3,2021-05-15 10:00:00+00:00,2021-05-15,10:00:00,RK920,0,appl2021e,2021,random_6475_RK920_2021.mp3,3108.3990192500896,no,-0.596508
random_35409_RK1048_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK1048,0,appl2021e,2021,random_35409_RK1048_2021.mp3,1235.014078086129,no,-6.254914
random_21146_RK752_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK752,0,appl2021e,2021,random_21146_RK752_2021.mp3,1086.431268005549,yes,2.1647155
random_45442_RK607_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK607,0,appl2021e,2021,random_45442_RK607_2021.mp3,4867.4660241199945,no,-7.353527
random_6553_RK694_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK694,0,appl2021e,2021,random_6553_RK694_2021.mp3,934.690849194768,no,-6.92365
random_8305_RK1040_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK1040,0,appl2021e,2021,random_8305_RK1040_2021.mp3,515.0863934641792,no,-6.133611
random_8406_RK732_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK732,0,appl2021e,2021,random_8406_RK732_2021.mp3,2651.1200269512256,no,-5.8914337
random_38907_RK906_2021.mp3,2021-05-18 10:00:00+00:00,2021-05-18,10:00:00,RK906,0,appl2021e,2021,random_38907_RK906_2021.mp3,3661.502407196074,no,-7.8654914
random_26708_RK614_2021.mp3,2021-05-17 10:00:00+00:00,2021-05-17,10:00:00,RK614,0,appl2021e,2021,random_26708_RK614_2021.mp3,4660.611015945527,no,-7.569928
random_22848_RK622_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK622,0,appl2021e,2021,random_22848_RK622_2021.mp3,3373.81600496713,no,-7.294216
random_17323_RK611_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK611,0,appl2021e,2021,random_17323_RK611_2021.mp3,2848.2879666434173,no,-7.579362
random_30133_RK923_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK923,0,appl2021e,2021,random_30133_RK923_2021.mp3,1581.83505696088,no,-8.2225275
random_18736_RK1036_2021.mp3,2021-05-17 10:00:00+00:00,2021-05-17,10:00:00,RK1036,0,appl2021e,2021,random_18736_RK1036_2021.mp3,3421.1543983449,no,-7.8411546
random_12714_RK911_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK911,0,appl2021e,2021,random_12714_RK911_2021.mp3,3795.4177000444074,no,-7.166838
random_44473_RK751_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK751,0,appl2021e,2021,random_44473_RK751_2021.mp3,2910.2007122317623,no,-7.377626
random_10107_RK604_2021.mp3,2021-05-18 10:00:00+00:00,2021-05-18,10:00:00,RK604,0,appl2021e,2021,random_10107_RK604_2021.mp3,1270.813087736724,no,-6.9682207
random_35017_RK1050_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK1050,0,appl2021e,2021,random_35017_RK1050_2021.mp3,819.4605472186553,no,-7.6592827
random_46829_RK735_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK735,0,appl2021e,2021,random_46829_RK735_2021.mp3,859.3219007382899,yes,1.2564496
random_15719_RK683_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK683,0,appl2021e,2021,random_15719_RK683_2021.mp3,1160.782635732172,no,-7.240506
random_29132_RK758_2021.mp3,2021-05-22 10:00:00+00:00,2021-05-22,10:00:00,RK758,0,appl2021e,2021,random_29132_RK758_2021.mp3,2529.362339570815,no,-7.796825
random_22629_RK742_2021.mp3,2021-05-18 10:00:00+00:00,2021-05-18,10:00:00,RK742,0,appl2021e,2021,random_22629_RK742_2021.mp3,4901.15238570111,no,-7.4935975
random_12783_RK911_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK911,0,appl2021e,2021,random_12783_RK911_2021.mp3,1830.4558381150352,no,-6.6146655
random_38263_RK609_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK609,0,appl2021e,2021,random_38263_RK609_2021.mp3,1169.0887407463072,no,-7.206178
random_14350_RK731_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK731,0,appl2021e,2021,random_14350_RK731_2021.mp3,4847.87609353427,no,-7.318321
random_26521_RK964_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK964,0,appl2021e,2021,random_26521_RK964_2021.mp3,4561.119615633655,no,-6.893535
random_22846_RK622_2021.mp3,2021-05-24 10:00:00+00:00,2021-05-24,10:00:00,RK622,0,appl2021e,2021,random_22846_RK622_2021.mp3,123.01768452124864,unknown,-3.1121027
random_6647_RK694_2021.mp3,2021-05-23 10:00:00+00:00,2021-05-23,10:00:00,RK694,0,appl2021e,2021,random_6647_RK694_2021.mp3,331.0609778831898,yes,2.035794
random_21095_RK752_2021.mp3,2021-05-17 10:00:00+00:00,2021-05-17,10:00:00,RK752,0,appl2021e,2021,random_21095_RK752_2021.mp3,3856.360912447527,no,-6.8536654
random_30678_RK949_2021.mp3,2021-05-20 10:00:00+00:00,2021-05-20,10:00:00,RK949,0,appl2021e,2021,random_30678_RK949_2021.mp3,6.710723012311815,no,-7.1339836
random_35362_RK1048_2021.mp3,2021-05-21 10:00:00+00:00,2021-05-21,10:00:00,RK1048,0,appl2021e,2021,random_35362_RK1048_2021.mp3,863.5691785638664,no,-7.1203547
random_6752_RK1009_2021.mp3,2021-05-19 10:00:00+00:00,2021-05-19,10:00:00,RK1009,0,appl2021e,2021,random_6752_RK1009_2021.mp3,2030.8092511388231,no,-6.513861
