cluster_30,2021,2022,2023,2024
RK686_9,0,0,1,0
RK687_0,0,0,0,1
RK687_1,0,1,0,0
RK687_2,1,0,1,0
RK690_0,0,0,1,0
RK690_1,0,1,0,0
RK690_6,1,0,0,0
RK690_8,0,0,0,1
RK691_2,0,0,1,1
RK691_3,1,0,0,0
RK692_2,1,1,1,1
RK693_0,0,0,0,1
RK693_3,1,0,0,0
RK693_4,0,1,1,0
RK694_2,0,1,1,1
RK694_3,1,0,0,0
RK695_1,0,1,1,1
RK695_7,1,0,0,0
RK696_0,1,0,0,0
RK696_4,0,0,0,1
RK696_5,0,0,1,0
RK696_6,0,1,0,0
RK701_0,1,0,0,0
RK701_1,0,1,1,0
RK702_0,1,0,1,1
RK702_1,0,1,0,0
RK728_0,1,1,0,0
RK728_1,0,0,1,1
RK729_1,0,0,1,1
RK729_3,1,0,0,0
RK729_5,0,1,0,0
RK730_2,0,0,1,0
RK730_5,1,0,0,0
RK730_7,0,1,0,1
RK731_3,0,1,0,0
RK731_6,1,0,0,0
RK731_7,0,0,1,1
RK732_0,0,0,0,1
RK732_1,0,0,1,0
RK732_4,1,0,0,0
RK732_5,0,1,0,0
RK733_0,0,0,1,1
RK733_3,1,0,0,0
RK733_5,0,1,0,0
RK734_0,0,0,1,1
RK734_4,1,1,0,0
RK735_1,1,1,0,1
RK735_2,0,0,1,0
RK736_0,0,0,1,1
RK736_2,1,1,0,0
RK738_1,1,0,0,0
RK738_4,0,1,1,0
RK738_7,0,0,0,1
RK739_1,0,1,0,0
RK739_4,0,0,1,1
RK739_5,1,0,0,0
RK741_0,1,1,1,1
RK742_0,0,1,1,1
RK742_1,1,0,0,0
RK745_0,1,0,0,0
RK745_1,0,1,0,0
RK745_2,0,0,0,1
RK745_3,0,0,1,0
RK747_0,0,0,0,1
RK747_1,1,1,0,0
RK747_3,0,0,1,0
RK749_0,1,1,0,0
RK749_2,0,0,1,1
RK751_0,1,1,0,0
RK752_2,1,0,0,0
RK752_3,0,1,1,1
RK753_0,1,1,1,0
RK753_1,0,0,0,1
RK758_1,0,0,0,1
RK758_2,1,0,0,0
RK758_3,0,1,1,0
RK759_0,0,1,1,0
RK759_1,0,0,0,1
RK759_2,1,0,0,0
RK760_0,1,0,0,0
RK760_2,0,0,1,0
RK760_3,0,1,0,0
RK760_6,0,0,0,1
RK888_0,0,1,0,1
RK888_1,1,0,0,0
RK888_2,0,0,1,0
RK890_0,1,0,0,0
RK890_1,0,1,0,0
RK890_2,0,0,1,0
RK890_3,0,0,0,1
RK893_0,1,0,1,1
RK893_6,0,1,0,0
RK895_0,0,1,1,1
RK902_0,0,1,0,0
RK902_1,1,0,0,0
RK902_2,0,0,0,1
RK902_4,0,0,1,0
RK906_1,1,1,1,0
RK906_2,0,0,0,1
RK908_0,0,0,0,1
RK908_1,0,1,0,0
RK908_2,1,0,0,0
RK908_3,0,0,1,0
RK910_0,1,0,0,0
RK910_2,0,0,1,0
RK910_3,0,0,0,1
RK910_4,0,1,0,0
RK913_0,0,1,1,0
RK913_1,1,0,0,0
RK913_2,0,0,0,1
RK917_0,1,1,1,1
RK920_0,0,1,0,0
RK920_3,0,0,1,1
RK920_6,1,0,0,0
RK921_0,0,1,1,0
RK921_2,0,0,0,1
RK921_4,1,0,0,0
RK923_0,1,0,0,0
RK924_4,0,0,1,0
RK924_5,0,0,0,1
RK924_6,0,1,0,0
RK924_7,1,0,0,0
RK929_0,0,0,1,1
RK929_1,1,0,0,0
RK929_2,0,1,0,0
RK931_0,1,0,0,0
RK931_1,0,0,1,0
RK931_2,0,1,0,0
RK931_3,0,0,0,1
RK934_0,1,0,0,0
RK935_0,1,1,1,0
RK935_2,0,0,0,1
RK936_0,1,0,0,0
RK936_1,0,1,1,0
RK943_0,1,1,0,0
RK943_1,0,0,0,1
RK944_1,1,0,0,0
RK944_3,0,1,1,1
RK949_0,1,1,0,1
RK949_1,0,0,1,0
RK954_0,1,0,0,0
RK955_0,1,1,0,1
RK955_1,0,0,1,0
RK958_0,0,1,1,0
RK958_5,0,0,0,1
RK958_6,1,0,0,0
RK961_0,1,0,0,0
RK961_1,0,1,0,1
RK961_2,0,0,1,0
RK962_0,0,0,0,1
RK962_1,0,0,1,0
RK962_2,1,1,0,0
RK964_1,1,0,0,0
RK964_2,0,0,1,0
RK964_3,0,0,0,1
RK964_4,0,1,0,0
RK966_0,0,1,1,0
RK966_1,1,0,0,1
RK974_0,1,0,0,1
RK974_1,0,1,1,0
RK976_2,0,0,0,1
RK976_3,1,0,0,0
RK976_4,0,1,1,0
RK983_0,1,0,0,0
RK983_1,0,0,0,1
RK983_2,0,1,1,0
RK984_0,1,0,0,1
RK984_1,0,1,1,0
RK986_0,0,0,0,1
RK986_1,1,0,0,0
RK986_3,0,0,1,0
RK986_4,0,1,0,0
RK990_0,1,1,1,0
RK990_2,0,0,0,1
